frame,ball_id,x_3d,y_3d,z_3d,reproj_error_cam1,reproj_error_cam2
0,0,72.74202102085728,-224.24310164026107,132.68108842202395,[1.22487214 1.76212894 0.83670513 0.00682036],[1.23555162 1.77416348 0.84283504 0.00685181]
0,1,17.459389617458275,-77.33581926666085,94.04226436329222,[1.22487214 1.76212894 0.83670513 0.00682036],[1.23555162 1.77416348 0.84283504 0.00685181]
0,2,71.46262527976242,64.48555695670011,45.68672482170262,[1.22487214 1.76212894 0.83670513 0.00682036],[1.23555162 1.77416348 0.84283504 0.00685181]
0,3,-22.42616425487866,210.45575189487883,22.987196149186108,[1.22487214 1.76212894 0.83670513 0.00682036],[1.23555162 1.77416348 0.84283504 0.00685181]
