frame,ball_id,x_3d,y_3d,z_3d,reproj_error_cam1,reproj_error_cam2
0,0,-1331.5262411917156,-242.0923339522108,-418.414043488889,[3.39356684 5.0505505  6.83166659 7.18074411],[3.30169982 4.90371699 6.63479085 6.95458145]
0,1,-1388.838950107519,-93.31585842438146,-453.076197038735,[3.39356684 5.0505505  6.83166659 7.18074411],[3.30169982 4.90371699 6.63479085 6.95458145]
0,2,-1337.915051243801,48.54179400362693,-511.1609983766308,[3.39356684 5.0505505  6.83166659 7.18074411],[3.30169982 4.90371699 6.63479085 6.95458145]
0,3,-1431.3730111429104,199.42036318358632,-521.5305949966155,[3.39356684 5.0505505  6.83166659 7.18074411],[3.30169982 4.90371699 6.63479085 6.95458145]
