frame,ball_id,x_3d,y_3d,z_3d,reproj_error_cam1,reproj_error_cam2
0,0,-1193.0697400144545,-212.54194470971112,874.0082780763746,[11.22604374 10.45506715  8.50913297  7.31318534],[11.0697646  10.29185889  8.37923262  7.18452198]
0,1,-1250.666635288751,-64.48478720465826,853.6376048881211,[11.22604374 10.45506715  8.50913297  7.31318534],[11.0697646  10.29185889  8.37923262  7.18452198]
0,2,-1197.2303387385448,75.73232042629854,795.2288744929148,[11.22604374 10.45506715  8.50913297  7.31318534],[11.0697646  10.29185889  8.37923262  7.18452198]
0,3,-1291.2037713106145,223.87923507234262,797.5982020585993,[11.22604374 10.45506715  8.50913297  7.31318534],[11.0697646  10.29185889  8.37923262  7.18452198]
