frame,ball_id,x_3d,y_3d,z_3d,reproj_error_cam1,reproj_error_cam2
0,0,-1205.9413741416965,-223.25705542913434,225.5792253479164,[4.09285884 2.6054242  1.77317763 0.46589163],[4.01526197 2.55128916 1.73670626 0.45516669]
0,1,-1265.1500602958854,-74.96313204763466,204.9676993959648,[4.09285884 2.6054242  1.77317763 0.46589163],[4.01526197 2.55128916 1.73670626 0.45516669]
0,2,-1211.9359645575826,65.66412454273902,131.53588173340108,[4.09285884 2.6054242  1.77317763 0.46589163],[4.01526197 2.55128916 1.73670626 0.45516669]
0,3,-1306.6510470163566,214.93253457454873,135.61083871972312,[4.09285884 2.6054242  1.77317763 0.46589163],[4.01526197 2.55128916 1.73670626 0.45516669]
